id;program_key;objective_key;title;description;type;priority;weight;sponsor;accountable;responsible;partners;sign_off;start_date;due_date;status;progress;evidence_minimum
RH-CON-01;conecta;O3;C1.1 — Log de decisões: definir critério + template + repositório;Definir o que é "decisão relevante", publicar template padrão e repositório oficial do log de decisões.;IMPLANTACAO;P0;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing | Operação/CS | Líderes;Direção;2026-02-06;2026-02-20;PENDENTE;0;Template publicado + link repositório + relatório de aderência (mês 1)
RH-CON-02;conecta;O3;C1.1 — Log de decisões: SLA e rotina (piloto 30 dias);Rodar piloto de 30 dias com SLA (ex.: publicar em 48h) e ajustar formato.;ROTINA;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-02-21;2026-03-31;PENDENTE;0;SLA documentado + relatório mensal (decisões esperadas vs registradas)
RH-CON-03;conecta;O3;C2.1 — Fala AERO: pauta fixa + calendário anual;Definir pauta fixa, calendário e responsáveis por seção para o boletim institucional.;IMPLANTACAO;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing;Direção;2026-02-06;2026-02-28;PENDENTE;0;Calendário anual + pauta fixa + responsáveis por seção
RH-CON-04;conecta;O3;C2.1 — Fala AERO: Edição Q1;Produzir e publicar as edições do Q1 e consolidar padrão.;ROTINA;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing;Direção;2026-03-01;2026-03-31;PENDENTE;0;Edição publicada + checklist pauta fixa preenchido
RH-CON-05;conecta;O3;C2.1 — Fala AERO: Edição Q2;Executar cadência mensal no Q2 e manter histórico.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing;Direção;2026-04-01;2026-06-30;PENDENTE;0;Edições publicadas (abr/mai/jun) + histórico
RH-CON-06;conecta;O3;C2.1 — Fala AERO: Edição Q3;Executar cadência mensal no Q3 e manter histórico.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing;Direção;2026-07-01;2026-09-30;PENDENTE;0;Edições publicadas (jul/ago/set) + histórico
RH-CON-07;conecta;O3;C2.1 — Fala AERO: Edição Q4;Executar cadência mensal no Q4 e consolidar histórico.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing;Direção;2026-10-01;2026-12-31;PENDENTE;0;Edições publicadas (out/nov/dez) + histórico
RH-CON-08;conecta;O3;C3.1 — Interáreas: ritual + backlog de dependências;Definir pauta padrão e backlog único de dependências (com dono e prazo).;IMPLANTACAO;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes | Operação/CS | Comercial | Produto/Dados;Direção;2026-02-10;2026-03-10;PENDENTE;0;Template de ata + backlog criado (com donos e prazos)
RH-CON-09;conecta;O3;C3.1 — Interáreas: Ciclo 1;Rodar 2 encontros e medir % ações concluídas.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-03-11;2026-05-31;PENDENTE;0;Atas + backlog com status + % concluído
RH-CON-10;conecta;O3;C3.1 — Interáreas: Ciclo 2;Rodar 2 encontros e medir % ações concluídas.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-06-01;2026-09-30;PENDENTE;0;Atas + backlog com status + % concluído
RH-CON-11;conecta;O3;C3.1 — Interáreas: Ciclo 3;Rodar 2 encontros e medir % ações concluídas (encerramento anual).;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-10-01;2026-12-15;PENDENTE;0;Atas + backlog com status + % concluído
RH-CON-12;conecta;O3;C4.1 — Canal de escuta com devolutiva (SLA);Implantar canal com triagem semanal e SLA de devolutiva; registrar entradas/destino/retorno.;IMPLANTACAO;P1;LEVE;RH;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;RH;2026-02-15;2026-03-31;PENDENTE;0;Canal ativo + log mensal + SLA reportado
RH-DES-01;desenvolve;O2;D2.1 — Checklist 4/4: padrão + baseline Q1;Definir checklist 4/4, ferramenta de registro e medir baseline no Q1.;IMPLANTACAO;P0;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-02-06;2026-03-15;PENDENTE;0;Checklist publicado + baseline Q1 + indicador mensal por área
RH-DES-02;desenvolve;O2;D2.1 — Aderência rituais: plano de correção;Criar plano de correção para áreas/líderes abaixo do mínimo.;ROTINA;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-03-16;2026-06-30;PENDENTE;0;Plano de correção + evolução mensal
RH-DES-03;desenvolve;O2;D1.1 — Escola de Líderes: trilhas + calendário anual;Publicar trilhas por nível e calendário anual.;IMPLANTACAO;P1;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Operação/CS | Produto/Dados;Direção;2026-02-10;2026-03-31;PENDENTE;0;Calendário anual + lista líderes + presença 1º módulo
RH-DES-04;desenvolve;O2;D1.1 — Escola de Líderes: Execução Q2;Executar módulos do Q2 e avaliar (NPS por ciclo).;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-04-01;2026-06-30;PENDENTE;0;Presenças + NPS/ciclo + log de ajustes
RH-DES-05;desenvolve;O2;D1.1 — Escola de Líderes: Execução Q3;Executar módulos do Q3 e avaliar.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-07-01;2026-09-30;PENDENTE;0;Presenças + NPS/ciclo + registro de casos
RH-DES-06;desenvolve;O2;D1.1 — Escola de Líderes: Execução Q4;Executar módulos do Q4 e consolidar lições aprendidas.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-10-01;2026-12-15;PENDENTE;0;Presenças + NPS/ciclo + relatório anual curto
RH-DES-07;desenvolve;O4;D3.1 — Metas+competências: framework + comunicação;Definir framework de metas + competências e comunicar ciclo anual.;IMPLANTACAO;P0;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Financeiro;Direção;2026-02-15;2026-03-31;PENDENTE;0;Framework + comunicado oficial + metas por área (v1)
RH-DES-08;desenvolve;O4;D3.1 — Metas por área: revisão executiva v2;Revisar metas por área com Direção e travar v2 com registro.;ROTINA;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-04-01;2026-04-30;PENDENTE;0;Metas v2 + ata de revisão
RH-DES-09;desenvolve;O4;Avaliação: ciclo principal (≥95%);Executar ciclo principal e atingir ≥95% avaliações concluídas.;ROTINA;P1;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-06-01;2026-09-30;PENDENTE;0;Relatório % concluído por área + pendências
RH-DES-10;desenvolve;O4;Nine Box: preparar critérios + calendário;Preparar sessões de calibragem e critérios para Nine Box.;IMPLANTACAO;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-04-15;2026-05-31;PENDENTE;0;Calendário + critérios + lista áreas elegíveis
